Name	Description	A1R3	C2R3	F2R3	A2R3	D2R3	E1R3
Q8WV93	comp100444_c0_seq1	59	32	46	13	17	12
Q641Q2	comp100525_c0_seq1	475	254	331	92	120	87
Q9H3H1	comp100722_c0_seq1	25	10	11	8	18	9
P58004	comp100836_c0_seq1	132	63	91	6	17	11
O75970	comp101628_c0_seq1	277	135	179	68	89	33
Q9NY93	comp101644_c0_seq1	40	10	19	8	14	15
Q9BTT6	comp101933_c0_seq1	146	78	109	37	55	15
Q9P2F8	comp102900_c0_seq1	378	236	281	56	67	44
Q8TB03	comp102955_c0_seq1	15	8	9	8	19	5
Q9UIG0	comp103718_c0_seq1	101	16	52	38	60	50
Q86XP1	comp104197_c0_seq1	39	32	26	12	19	11
Q9NRL2	comp104506_c0_seq1	303	143	155	77	127	138
Q8WWQ0	comp105746_c0_seq1	126	80	88	23	22	19
O15027	comp105941_c0_seq1	47	44	51	14	20	15
Q5T5U3	comp106450_c0_seq1	85	108	172	36	33	19
Q6R327	comp107156_c0_seq1	98	53	69	14	21	13
Q8IWQ3	comp107649_c0_seq1	50	35	39	21	18	20
Q5HYC2	comp108126_c0_seq1	73	22	24	12	22	20
Q9P2D1	comp108550_c0_seq1	56	70	54	26	50	33
Q5T1M5	comp108676_c0_seq1	232	87	154	40	48	41
Q9UBF9	comp109168_c0_seq1	76	88	111	45	37	25
Q9Y2G4	comp109337_c0_seq1	60	24	48	31	49	37
Q6ZTU2	comp109830_c0_seq1	57	40	44	15	16	9
Q09666	comp111212_c0_seq1	34	56	75	16	24	11
Q9H0D2	comp111918_c0_seq1	59	42	46	13	18	8
Q7Z443	comp113231_c0_seq1	60	29	28	11	20	10
O75376	comp113263_c0_seq1	63	39	37	9	15	14
Q5VWG9	comp115243_c0_seq1	37	10	15	6	10	14
Q8TC92	comp117447_c0_seq1	37	22	25	6	11	18
P12270	comp126432_c0_seq1	35	16	22	3	12	17
Q14692	comp126754_c0_seq1	68	41	42	12	32	18
Q8NFP4	comp128880_c0_seq1	59	88	98	24	32	17
Q9UGI0	comp13817_c0_seq2	179	77	101	29	73	47
O00566	comp13828_c0_seq1	185	37	80	32	97	95
Q8IZU8	comp13904_c0_seq1	164	57	81	31	50	39
Q13562	comp13917_c0_seq1	13	7	15	10	24	18
O00206	comp13950_c0_seq1	90	40	60	38	85	64
Q9UHR6	comp13991_c0_seq1	27	13	20	10	26	25
P50748	comp14044_c0_seq1	173	48	66	38	93	51
Q8IVG5	comp14058_c0_seq1	174	75	117	37	101	79
Q9UMQ3	comp14193_c0_seq1	31	10	17	7	16	19
Q86X45	comp14266_c0_seq1	58	22	23	10	28	44
Q3LIE5	comp14301_c0_seq1	32	7	17	7	20	17
Q8IUH3	comp14314_c0_seq1	184	73	85	43	89	75
Q9BQS8	comp14388_c0_seq2	230	99	137	54	126	107
Q7Z442	comp14404_c0_seq1	39	19	22	26	124	50
Q5TDH0	comp14427_c0_seq1	105	34	49	18	73	27
Q8N983	comp14445_c0_seq1	79	16	36	18	42	45
A6NJ78	comp14487_c0_seq1	38	21	18	8	43	24
O60232	comp14507_c0_seq2	72	26	25	9	33	37
O43313	comp14517_c0_seq1	71	23	48	17	39	36
Q9BQA5	comp14522_c0_seq2	93	32	47	25	66	45
Q6ZVM7	comp14540_c0_seq1	609	220	308	131	311	195
Q9P2F6	comp14562_c0_seq1	214	108	151	56	154	107
Q9UIF7	comp14590_c0_seq1	43	12	20	18	37	36
Q13724	comp14613_c0_seq1	226	128	145	66	124	81
Q5R3K3	comp14629_c0_seq1	64	26	33	40	65	50
P09001	comp14641_c0_seq1	57	15	28	19	36	38
Q9Y3P9	comp14646_c0_seq1	314	158	195	73	130	105
Q9Y320	comp14673_c0_seq1	181	62	88	37	71	61
A8MYJ7	comp14677_c0_seq1	120	39	71	38	80	74
Q8TAP8	comp14685_c0_seq1	43	21	37	12	29	30
Q9H161	comp14691_c0_seq1	46	14	24	8	29	20
P06730	comp14695_c0_seq1	374	156	232	104	137	101
